Timestamp,Type,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1771340079.8960285,RAW,734265.125,-105130.71875,233156.953125,512214.75,583510.3125,-124346.15625,419370.5,346844.8125
1771340079.8960285,RAW,422556.875,-68772.65625,454255.15625,439957.0,517849.34375,-276858.71875,164480.328125,115498.796875
1771340079.8960285,RAW,-81972.4375,30181.919921875,612227.1875,559304.9375,501040.21875,-22995.38671875,109652.5703125,140437.265625
1771340079.8960285,RAW,-503065.8125,-66354.9140625,559834.1875,660090.0625,679260.9375,352550.875,254925.59375,103611.3359375
1771340079.8960285,RAW,-370990.875,-446103.125,528726.8125,700486.625,750000.0625,344094.03125,231368.28125,95078.6953125
1771340079.8960285,RAW,613991.375,-750000.125,603190.5625,701411.1875,750000.0625,501154.21875,84790.5390625,24503.146484375
1771340079.8960285,RAW,750000.0625,-750000.125,750000.0625,750000.0625,750000.0625,750000.0625,488136.5625,581933.3125
1771340079.8960285,RAW,750000.0625,-750000.125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771340079.8960285,RAW,750000.0625,-342296.5,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771340079.9728286,RAW,750000.0625,427547.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771340079.9728286,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771340079.9728286,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771340079.9728286,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771340079.9728286,RAW,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625
1771340079.9728286,RAW,730651.125,750000.0625,750000.0625,750000.0625,720682.6875,750000.0625,726529.4375,687660.1875
1771340079.9728286,RAW,625366.1875,648196.5,750000.0625,705053.0625,617053.8125,667079.875,622170.125,588628.1875
1771340079.9728286,RAW,538002.5625,557540.0625,657657.4375,606518.0,530985.75,574038.9375,535462.0625,506395.78125
1771340079.9728286,RAW,470157.4375,487066.0,574665.625,529998.875,464106.90625,501752.53125,468133.96875,442624.65625
1771340079.9728286,RAW,439292.96875,455130.53125,536923.8125,495161.25,433729.0,468897.96875,437565.0,413699.78125
1771340079.9728286,RAW,425586.0,441018.71875,520084.09375,479663.28125,420217.8125,454270.09375,423985.4375,400784.6875
1771340079.9728286,RAW,413490.21875,428514.53125,505224.28125,465992.5,408277.875,441357.46875,411999.96875,389392.34375
1771340079.9728286,RAW,402360.375,417018.46875,491558.59375,453414.625,397283.78125,429459.8125,400944.8125,378881.40625
1771340079.9728286,RAW,392113.8125,406409.71875,478998.25,441822.03125,387163.0625,418532.3125,390753.75,369247.25
1771340079.9728286,RAW,382674.59375,396629.84375,467419.4375,431116.8125,377819.4375,408446.21875,381335.875,360362.34375
1771340079.9728286,RAW,373905.0,387548.5,456669.5,421197.375,369146.84375,399076.375,372576.59375,352101.59375
1771340079.9728286,RAW,365794.1875,379132.53125,446711.96875,412024.125,361121.0625,390403.28125,364477.84375,344445.6875
1771340079.9728286,RAW,358244.84375,371292.71875,437427.5,403479.3125,353641.28125,382317.9375,356931.28125,337318.96875
1771340080.036078,RAW,351211.09375,363999.78125,428786.59375,395511.375,346686.125,374795.5,349900.40625,330699.53125
1771340080.036078,RAW,344657.75,357204.9375,420742.28125,388080.75,340210.375,367795.65625,343347.21875,324523.375
1771340080.036078,RAW,338527.03125,350845.59375,413211.0,381140.1875,334148.65625,361245.15625,337220.6875,318741.78125
1771340080.036078,RAW,332804.15625,344917.03125,406181.90625,374672.28125,328496.90625,355131.5,331513.75,313354.125
1771340080.036078,RAW,327430.375,339354.65625,399581.34375,368598.6875,323190.875,349390.25,326157.9375,308297.0
1771340080.036078,RAW,322384.3125,334125.78125,393387.40625,362881.46875,318203.5625,344002.21875,321113.9375,303538.3125
1771340080.036078,RAW,317646.28125,329210.625,387570.875,357504.71875,313518.8125,338940.09375,316374.5625,299069.65625
1771340080.036078,RAW,313190.0625,324589.46875,382095.75,352456.0,309115.15625,334178.625,311925.9375,294877.28125
1771340080.036078,RAW,309007.15625,320256.0625,376954.84375,347732.53125,304985.53125,329713.625,307757.6875,290933.28125
1771340080.036078,RAW,305041.25,316150.6875,372085.5625,343259.25,301075.875,325483.78125,303813.25,287204.1875
1771340080.036078,RAW,301305.5625,312275.53125,367491.40625,339022.59375,297381.84375,321488.5625,300080.84375,283686.46875
1771340080.036078,RAW,297804.1875,308642.65625,363183.3125,335044.96875,293918.125,317744.625,296577.96875,280378.78125
1771340080.036078,RAW,294485.21875,305204.15625,359102.59375,331284.875,290641.28125,314201.25,293266.625,277253.09375
1771340080.036078,RAW,291348.5625,301950.90625,355242.90625,327737.03125,287541.0,310847.78125,290140.15625,274297.3125
1771340080.036078,RAW,288369.78125,298861.25,351583.5625,324368.4375,284600.9375,307669.375,287174.25,271492.875
1771340080.098738,RAW,285536.75,295927.1875,348107.25,321162.65625,281811.625,304653.40625,284357.375,268830.53125
1771340080.098738,RAW,282880.90625,293170.15625,344835.5,318141.875,279186.1875,301814.46875,281702.90625,266323.375
1771340080.098738,RAW,280348.28125,290542.5625,341721.4375,315263.875,276683.21875,299111.40625,279171.59375,263935.5
1771340080.098738,RAW,277943.34375,288053.125,338766.09375,312547.125,274311.15625,296544.53125,276780.875,261677.078125
1771340080.098738,RAW,275673.65625,285705.1875,335976.59375,309984.5625,272073.3125,294124.03125,274528.4375,259543.546875
1771340080.098738,RAW,273499.0,283450.96875,333302.78125,307518.09375,269926.03125,291802.03125,272361.375,257493.1875
1771340080.098738,RAW,271446.21875,281319.78125,330775.78125,305179.46875,267897.90625,289610.9375,270307.53125,255555.109375
1771340080.098738,RAW,269497.78125,279300.15625,328378.25,302971.5625,265977.8125,287535.90625,268367.03125,253729.59375
1771340080.098738,RAW,267641.21875,277378.375,326095.34375,300871.84375,264146.65625,285558.3125,266522.21875,251982.671875
1771340080.098738,RAW,265863.8125,275540.15625,323913.53125,298866.1875,262395.375,283665.71875,264759.65625,250308.53125
1771340080.098738,RAW,264189.125,273804.0625,321852.09375,296966.71875,260744.828125,281880.71875,263092.46875,248734.421875
1771340080.098738,RAW,262596.0,272149.84375,319887.8125,295149.0625,259173.5,280182.15625,261500.765625,247235.25
1771340080.098738,RAW,261073.125,270570.65625,318009.71875,293418.0625,257670.390625,278557.1875,259981.734375,245799.015625
1771340080.098738,RAW,259624.109375,269070.5,316223.1875,291781.75,256240.328125,277007.40625,258544.078125,244432.703125
1771340080.098738,RAW,258236.25,267632.46875,314514.28125,290215.0625,254869.625,275524.25,257167.734375,243125.296875
